"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","25.15","3.91e-8","1.54e-8","-1.72","-","115.86","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","53.21","4.38e-8","1.37e-8","-1.72","-","109.53","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","61.75","4.18e-8","1.24e-8","-1.72","-","103.36","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","72.84","4.25e-8","1.29e-8","-1.72","-","97.33","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","69.01","4.99e-8","1.34e-8","-1.72","-","91.43","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","102.44","5.95e-8","1.52e-8","-1.72","-","85.64","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","25.97","3.06e-8","1.37e-8","-1.72","-","79.92","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","25.32","2.27e-8","1.18e-8","-1.72","-","74.26","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","63.99","4.57e-8","1.32e-8","-1.72","-","68.61","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","35.99","3.67e-8","1.36e-8","-1.72","-","62.95","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","38.37","3.59e-8","1.24e-8","-1.72","-","57.25","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","64.22","5.05e-8","1.35e-8","-1.72","-","51.48","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","22.56","2.60e-8","1.13e-8","-1.72","-","45.63","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","23.94","1.64e-8","9.24e-9","-1.72","-","39.70","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","4.12","1.02e-8","8.67e-9","-1.72","-","33.73","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","16.84","3.41e-8","1.49e-8","-1.72","-","27.82","1e-8","0","bin16.log"
